City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,60.91,scattered clouds,-53.15,-70.9167,Hotel Lacolet
5,Bonavista,CA,25.97,scattered clouds,48.6499,-53.1147,Harbour Quarters Inn
6,Ushuaia,AR,58.66,few clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
11,New Norfolk,AU,60.3,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
13,Plettenberg Bay,ZA,63.36,light rain,-34.0527,23.3716,Milkwood Manor
16,Narsaq,GL,21.29,overcast clouds,60.9167,-46.05,Hotel Narsaq
18,Shimoda,JP,34.11,clear sky,34.6667,138.95,ホテルウラガ
20,Corrales,US,43.0,clear sky,35.2378,-106.6067,Days Inn by Wyndham Rio Rancho
21,Wunsiedel,DE,26.35,scattered clouds,50.0333,12.0167,Molo Rouge
28,Kargasok,RU,20.8,light snow,59.0556,80.8572,Титан
32,Guerrero Negro,MX,61.25,overcast clouds,27.9769,-114.0611,Plaza sal paraiso
37,Seoul,KR,20.64,clear sky,37.5683,126.9778,뉴국제호텔
41,Hobart,AU,60.66,scattered clouds,-42.8794,147.3294,Vibe Hotel Hobart
43,Bredasdorp,ZA,62.4,overcast clouds,-34.5322,20.0403,Victoria Hotel
47,Fortuna,US,46.92,overcast clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
49,Bay City,US,29.1,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
51,Payson,US,33.91,light snow,40.0444,-111.7321,Wee Blue Inn
55,Tunduma,TZ,60.3,moderate rain,-9.3,32.7667,New Victoria Guesthouse
57,Plattsburgh,US,40.41,mist,44.6995,-73.4529,Golden Gate Hotel
60,Khalkis,GR,53.78,scattered clouds,38.4636,23.5994,Ξενοδοχείο Παλίροια
61,Jamestown,US,33.94,broken clouds,42.097,-79.2353,DoubleTree Jamestown
62,Craig,US,28.02,overcast clouds,40.5153,-107.5464,Quality Inn & Suites
66,Dunedin,NZ,56.8,few clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
69,Hasaki,JP,30.6,broken clouds,35.7333,140.8333,大新旅館
75,Patitirion,GR,43.38,clear sky,39.15,23.8667,Hotel Studios Elena
83,Longyearbyen,SJ,22.84,scattered clouds,78.2186,15.6401,The Vault
86,Besikduzu,TR,53.49,overcast clouds,41.052,39.2284,Öğretmenevi
93,Grindavik,IS,41.47,broken clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
111,Lagoa,PT,57.25,broken clouds,39.05,-27.9833,Casa da Madrinha
119,Bethel,US,49.19,few clouds,41.3712,-73.414,Hampton Inn Danbury
120,Skjervoy,NO,33.8,light snow,70.0311,20.9714,Hotel Maritim Skjervøy
124,Leshukonskoye,RU,23.77,light snow,64.8989,45.7622,"Интернат МБОУ ""Лешуконская СОШ"""
125,Ketchikan,US,39.18,clear sky,55.3422,-131.6461,Cape Fox Lodge
128,Skagen,DK,43.18,overcast clouds,57.7209,10.5839,Hotel Marie
130,Havoysund,NO,34.03,light snow,70.9963,24.6622,Havøysund Hotell
136,Ornskoldsvik,SE,31.15,few clouds,63.2909,18.7153,Hotell Focus
137,Vardo,NO,32.76,snow,70.3705,31.1107,Meieriet
144,Esperance,AU,60.06,clear sky,-33.8667,121.9,Hospitality
147,Tasiilaq,GL,22.91,snow,65.6145,-37.6368,Angmagssalik
152,Cadillac,US,22.8,broken clouds,44.2519,-85.4012,Days Inn by Wyndham Cadillac
155,Half Moon Bay,US,51.48,fog,37.4636,-122.4286,Half Moon Bay Inn
164,Kodiak,US,31.51,fog,57.79,-152.4072,Shelikof Lodge
167,Katsuura,JP,38.68,scattered clouds,35.1333,140.3,潮騒の宿
168,Biskupiec,PL,30.02,broken clouds,53.8647,20.9569,Hotelik Atelier
169,Luzhou,CN,48.29,clear sky,28.8724,105.4405,酒城宾馆
174,Divnogorsk,RU,21.74,light snow,55.9594,92.3619,Бирюса
178,New Bedford,US,50.94,few clouds,41.6362,-70.9342,Fairfield Inn and Suites by Marriott New Bedford
179,North Bend,US,43.92,mist,43.4065,-124.2243,The Mill Casino Hotel
181,Victoria,HK,55.45,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
186,Blois,FR,39.33,broken clouds,47.5833,1.3333,Appart'Tourisme Blois Châteaux de la Loire
205,Lompoc,US,52.52,few clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
207,Homer,US,38.77,overcast clouds,59.6425,-151.5483,Driftwood Inn & Homer Seaside Lodges
209,Mount Gambier,AU,59.36,light rain,-37.8333,140.7667,The Old Mount Gambier Gaol
216,Nanortalik,GL,24.31,overcast clouds,60.1432,-45.2371,Kap Farvel
217,Gafanha Da Encarnacao,PT,55.78,clear sky,40.6181,-8.733,Hotel Azevedo
218,Komsomolskiy,UZ,30.92,mist,40.4272,71.7189,"Hotel ""Ikat House"""
219,Kuryk,KZ,34.99,clear sky,43.2,51.65,Kuryk
221,Goba,ET,52.03,clear sky,7.0167,39.9833,ጎባ ዋቤ ሸበሌ ሆቴል
224,La Malbaie,CA,31.05,overcast clouds,47.6575,-70.1559,Auberge sur la Côte
225,Naze,JP,47.32,overcast clouds,28.3667,129.4833,ビジネス旅館畠山
227,Shenjiamen,CN,38.39,scattered clouds,29.9576,122.298,Zhonghan Hotel
232,Pop,UZ,30.69,overcast clouds,40.8736,71.1089,Ramz Hotel
235,Tilichiki,RU,24.48,light snow,60.4667,166.1,Тиличики
237,Port Elizabeth,ZA,64.69,heavy intensity rain,-33.918,25.5701,Waterford Hotel
238,El Prat De Llobregat,ES,49.14,broken clouds,41.3278,2.0947,Pensión Carlos III
242,Stribro,CZ,27.84,scattered clouds,49.7529,13.0041,Hotel U Branky
247,Kuusamo,FI,28.44,overcast clouds,65.9667,29.1833,Holiday Club Kuusamon Tropiikki
251,Qaqortoq,GL,21.25,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
259,Anadyr,RU,27.1,few clouds,64.75,177.4833,Гостевой дом
270,Floro,NO,42.76,overcast clouds,61.5996,5.0328,Comfort Hotel Victoria Florø
275,Lebanon,US,55.9,clear sky,36.2081,-86.2911,Ramada
277,Saint George,US,40.42,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
287,Laguna,US,51.08,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
289,Sitka,US,38.17,clear sky,57.0531,-135.33,Aspen Suites Hotel
291,Altea,ES,54.37,scattered clouds,38.5989,-0.0514,Altea Suite Vault
293,Muros,ES,51.15,scattered clouds,42.7762,-9.0603,Pensión Ría de Muros
294,Kaseda,JP,38.68,overcast clouds,31.4167,130.3167,加世田ホテルよしや
300,Shahreza,IR,32.99,clear sky,32.0339,51.8794,هتل و رستوران منتظران
301,Idlib,SY,46.74,scattered clouds,35.9306,36.6339,فندق ادلب الكبير
307,Sabha,LY,54.61,clear sky,27.0377,14.4283,فندق الكاظم-سبها
315,Bardiyah,LY,59.22,clear sky,31.7561,25.0865,فندق البردي
317,Anstruther,GB,44.78,broken clouds,56.2231,-2.7023,The Royal Hotel
327,Jacksonville Beach,US,63.05,scattered clouds,30.2947,-81.3931,Margaritaville Beach Hotel
329,Lulea,SE,32.07,clear sky,65.5842,22.1547,Clarion Hotel Sense
332,Ancud,CL,64.62,few clouds,-41.8697,-73.8203,Cabañas
336,Kamaishi,JP,23.61,broken clouds,39.2667,141.8833,釜石ベイシティホテル
337,Goderich,CA,29.91,overcast clouds,43.7501,-81.7165,Hotel Bedford
338,Mao,ES,46.96,broken clouds,39.8885,4.2658,Eurohotel
339,Hauge,NO,41.7,overcast clouds,58.3436,6.2812,Songdalstrand Kulturhotell
353,Te Anau,NZ,51.15,clear sky,-45.4167,167.7167,Lakeside Motels & Apartments
365,Camargo,MX,58.64,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
366,Camacha,PT,56.62,scattered clouds,33.0833,-16.3333,Praia Dourada
373,Ponta Do Sol,PT,63.72,light rain,32.6667,-17.1,Estalagem Ponta do Sol
378,Shingu,JP,32.76,clear sky,33.7333,135.9833,ホテルニューパレス
392,Juneau,US,32.22,clear sky,58.3019,-134.4197,Ramada by Wyndham Juneau
395,Riyadh,SA,58.33,clear sky,24.6877,46.7219,White Palace Hotel
397,Newport,GB,44.46,broken clouds,51.5877,-2.9984,Queens Hotel
400,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
403,Jumla,NP,35.29,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
411,Nassau,US,51.73,clear sky,40.7507,-73.5829,Hilton Garden Inn
414,Sandwick,GB,44.42,scattered clouds,60.0,-1.25,Barclay Arms
416,Qidong,CN,30.92,clear sky,31.8128,121.6561,先豪国际酒店
432,Akureyri,IS,38.52,overcast clouds,65.6835,-18.0878,Hótel Norðurland
435,Kropotkin,RU,38.21,overcast clouds,45.4375,40.5756,Европа
440,Ponta Delgada,PT,57.92,scattered clouds,37.7333,-25.6667,Hotel Talisman
441,Bam,IR,40.42,overcast clouds,29.106,58.357,هتل جهانگردی بم
443,Taman,RU,47.59,overcast clouds,45.2117,36.7161,Волна
445,Greenfield,US,20.91,light snow,42.9614,-88.0126,Hampton Inn & Suites
447,Jalu,LY,59.25,scattered clouds,29.0331,21.5482,فندق جالو السياحي
450,Brae,GB,45.39,overcast clouds,60.3964,-1.353,Brae Hotel
451,Filadelfia,US,52.61,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
453,Freeport,US,52.05,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
455,Vadso,NO,29.28,broken clouds,70.0744,29.7487,Scandic Vadsø
463,Doha,QA,59.31,clear sky,25.2867,51.5333,Al MIrqab
466,Tikhvin,RU,22.21,overcast clouds,59.6451,33.5294,Тихвин
474,Pafos,CY,62.38,scattered clouds,34.7667,32.4167,Mayfair Hotel
478,Adeje,ES,64.6,broken clouds,28.1227,-16.726,Royal Garden Villas
482,Hofn,IS,38.1,overcast clouds,64.2539,-15.2082,Guesthouse Dyngja
489,Huilong,CN,30.92,clear sky,31.8111,121.655,先豪国际酒店
507,Krapina,HR,35.51,overcast clouds,46.1608,15.8789,Ugostiteljstvo Čuček
509,Varkaus,FI,29.3,overcast clouds,62.3153,27.873,Hotel Oscar
514,Lasa,IT,31.37,broken clouds,46.6166,10.7002,"Hotel ""Drei Kreuz"""
516,Praia Da Vitoria,PT,60.76,overcast clouds,38.7333,-27.0667,Salles
524,Teguise,ES,62.82,scattered clouds,29.0605,-13.564,Finca Las Laderas
533,Alfeld,DE,33.58,scattered clouds,51.9838,9.8199,Bürgerschenke
539,Saiki,JP,31.5,clear sky,32.95,131.9,佐伯セントラルホテル
540,Khandbari,NP,53.96,clear sky,27.3747,87.2039,Guesthouse
543,Port Lincoln,AU,64.4,overcast clouds,-34.7333,135.8667,Boston Hotel
544,Meridian,US,37.15,light snow,43.6121,-116.3915,Best Western
546,Zugdidi,GE,48.67,overcast clouds,42.5088,41.8709,Garden Palace
547,Penzance,GB,43.77,broken clouds,50.1186,-5.5371,The Abbey Hotel
548,Sakakah,SA,62.06,scattered clouds,29.9697,40.2064,sakakah residence
549,Tunceli,TR,34.48,light snow,39.1083,39.5471,Has Otel
552,Pacific Grove,US,50.65,clear sky,36.6177,-121.9166,Pacific Grove Inn
553,Hailey,US,24.89,scattered clouds,43.5196,-114.3153,Fairfield Inn
565,Baft,IR,26.35,clear sky,29.234,56.6057,هتل 4 ستاره در حال ساخت بام بافت
571,Ribeira Brava,PT,63.72,light rain,32.65,-17.0667,Cheerfulway Bravamar Hotel
572,Mamonovo,RU,30.7,overcast clouds,54.4643,19.938,У моста
584,Winnemucca,US,33.01,broken clouds,40.973,-117.7357,The Overland Hotel
595,Coldingham,GB,42.58,overcast clouds,55.8868,-2.157,Eye Sleep Over
596,Grenada,ES,50.36,few clouds,37.1882,-3.6067,Allegro Granada
604,Horasan,TR,27.1,overcast clouds,40.0458,42.1728,Karaca
609,Grants,US,32.23,clear sky,35.1473,-107.8514,Southwest Motel
612,Liverpool,GB,45.75,overcast clouds,53.4106,-2.9779,The Lord Nelson Hotel
613,Virginia Beach,US,56.05,few clouds,36.8529,-75.978,Beach Spa Bed & Breakfast
625,Severo-Kurilsk,RU,25.18,overcast clouds,50.6789,156.125,"""Дом рыбака"""
626,Hirara,JP,58.98,overcast clouds,24.8,125.2833,古謝そば屋
631,Klaksvik,FO,43.72,overcast clouds,62.2266,-6.589,Hotel Klaksvik
633,Buraydah,SA,60.75,clear sky,26.326,43.975,دنا للوحدات السكنية
641,Vila,PT,41.88,few clouds,42.0304,-8.1588,Hotel Miracastro
644,Hamilton,US,50.65,clear sky,39.1834,-84.5333,North Vista Manor
654,Husavik,IS,37.74,overcast clouds,66.0449,-17.3389,Fosshótel Húsavík
667,Gazanjyk,TM,33.31,clear sky,39.2446,55.5154,Şemşadyñ mamasy
668,Harwich,GB,42.37,broken clouds,51.9419,1.2844,Bottle Kiln
669,Abha,SA,55.65,few clouds,18.2164,42.5053,SAHAB
671,Insch,GB,39.47,broken clouds,57.3427,-2.6132,The Commercial Hotel
673,Sungaipenuh,ID,64.63,overcast clouds,-2.0833,101.3833,Hotel Matahari
675,Kathmandu,NP,51.84,few clouds,27.7167,85.3167,Aryatara Kathmandu Hotel
676,Tramore,IE,47.48,scattered clouds,52.1624,-7.1524,Majestic Hotel
677,Visnes,NO,43.21,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
678,Sorland,NO,39.06,overcast clouds,67.667,12.6934,Fagmek Resorts
684,La Baneza,ES,42.35,few clouds,42.3003,-5.8977,Hostal Astur
690,Prince Rupert,CA,32.09,fog,54.3161,-130.3201,Crest Hotel
694,Storslett,NO,33.8,few clouds,69.7678,21.0247,Reisafjord hotel
700,Puerto Penasco,MX,52.92,overcast clouds,31.3167,-113.5333,Hotel Paraíso Del Desierto
